venue_id,brand,address,city,state
c5095d3a-f726-4be5-bc8b-c45aa4f9901f,Sprouts Farmers Market,15050 West 64th Ave.,Arvada,CO
2b860a3c-93fc-4351-b36d-ed39dff37528,Sprouts Farmers Market,7725 Wadsworth Blvd.,Arvada,CO
35f2d50d-9c92-4d44-b307-579b21c46ef1,Sprouts Farmers Market,1150 S. Ironton St.,Aurora,CO
d3551d32-8760-49c0-877f-4e837a7e6161,Whole Foods Market,340 Reed Street,Basalt,CO
ba96da16-e421-43ba-8b2e-9990a1901791,Trader Joe's,790 N Colorado Blvd,Denver,CO
c61fd94a-b53b-43d0-9687-7566c015a4a5,Sprouts Farmers Market,4700 West 38th Ave.,Denver,CO
f2e31e70-ffc0-4717-b84d-be26c44c4b1b,Whole Foods Market,7400 E. Hampden Ave,Denver,CO
45077732-9805-4c4d-a973-b9e2aa3d1bf3,Trader Joe's,750 N Colorado Blvd,Denver,CO
5674c869-65cb-49d5-a4e2-8636cac37ce6,Sprouts Farmers Market,2880 S. Colorado Blvd.,Denver,CO
0a8c7af1-ca69-4db9-bbe3-cfae3116f9d8,Sprouts Farmers Market,197 E. Mississippi Ave.,Denver,CO
dc36a7e9-01c6-41e0-b02b-33f7e15480f4,Sprouts Farmers Market,3625 E. Colfax Ave.,Denver,CO
611ffa79-fd55-4c64-85a8-b5e0b9bf92a8,Whole Foods Market,1111 S. Washington Street,Denver,CO
70f2e891-fe9c-480f-9917-6343f9f4727b,Trader Joe's,661 Logan Street,Denver,CO
0ce22248-dcf8-4286-9707-97f7ca163a00,Whole Foods Market,1701 Wewatta Street,Denver,CO
6ea0a4d1-7aab-4e1d-8ecf-0f41e43ad556,Whole Foods Market,261 Lusher Court,Frisco,CO
8f1b789d-7db9-4883-b4b6-dc66fb779ed7,Whole Foods Market,14357 W. Colfax Ave.,Golden,CO
435a39be-3b27-4e37-92ce-7637c01bb604,Sprouts Farmers Market,9751 S. Parker Rd.,Parker,CO
6a2f7498-0ddd-4336-aa59-f0b67258d259,Whole Foods Market,2905 Pearl St,Boulder,CO
1423fe3b-c1c2-4ec5-89ba-8affd6ba2136,Whole Foods Market,1275 Alpine Ave.,Boulder,CO
9fac29c9-a81a-4eaa-8af7-e0c0f7c1a49a,Sprouts Farmers Market,2950 Baseline Rd.,Boulder,CO
c87b336d-6d20-4acf-9cf9-6938cf1e9902,Sprouts Farmers Market,2525 Arapahoe Ave.,Boulder,CO
102b5224-fd54-4ebb-bae8-c1e14effbc3c,Trader Joe's,1906 28th St,Boulder,CO
2dea5b20-c9ec-424d-bf86-c55fe6fe6508,Sprouts Farmers Market,"4759 W. 29th St., Unit B",Greeley,CO
abb46ee7-bb6f-4cdb-8580-4fdc750c1f21,Whole Foods Market,870 S. Colorado Blvd.,Glendale,CO
30918191-eeb9-42d8-a20d-d511947a78b4,Whole Foods Market,444 S.Wadsworth Blvd,Lakewood,CO
ea3e46d0-229e-4d97-9ebe-704d88efcc2d,Sprouts Farmers Market,98 Wadsworth Blvd.,Lakewood,CO
1d094b7b-6c93-4f65-9080-103d0c1e75cd,Whole Foods Market,1250 South Hover Road,Longmont,CO
5af321c0-254b-47c9-8719-9322cc7adcd6,Sprouts Farmers Market,1101 S. Hover,Longmont,CO
3f2ffee0-5be3-4489-9d68-1a06ad5e5043,Sprouts Farmers Market,1440 N. Lincoln Ave.,Loveland,CO
a3a7aad6-23e1-414c-be7e-4af7a59c5639,Whole Foods Market,303 Marshall Rd.,Superior,CO
dc01b8c5-8ff5-40fa-9e58-f8d8cc888cca,Sprouts Farmers Market,1131 E. 120th Ave.,Thornton,CO
d112cedc-f5f7-447e-8b5e-9e4fac27e313,Sprouts Farmers Market,5001 S. Broadway,Englewood,CO
f855f249-fdd3-43cf-86cd-370127ed8eaf,Sprouts Farmers Market,555 W. South Boulder Rd.,Lafayette,CO
9ae6fd9c-785b-4b5b-9458-70805bb15146,Trader Joe's,8055 West Bowles Ave,Littleton,CO
bbd19124-c6db-4919-90d7-602e95a1b438,Whole Foods Market,5155 S. Wadsworth Blvd.,Littleton,CO
80877788-8cce-44fa-9b96-ee351d661d6b,Sprouts Farmers Market,8601 W. Cross Dr.,Littleton,CO
5a37df75-dd7a-4c4a-9742-743600a1de8d,Sprouts Farmers Market,10018 Commons St.,Lone Tree,CO
aa0f96b8-359a-4740-9398-d845b446f59e,Whole Foods Market,6853 South York Street,Centennial,CO
a3b9a7d2-df2f-4b96-8667-ee6c29d0ad19,Sprouts Farmers Market,20831 E. Smoky Hill Rd.,Centennial,CO
1b48c959-b194-4376-9e4a-5a78c78e51ab,Sprouts Farmers Market,5650 Allen Way,Castle Rock,CO
076858a5-6dfd-4d61-970a-dcbca60e3a06,Whole Foods Market,4451 Main St.,Westminster,CO
2636fe37-cb46-49ff-ac82-9d30b045001e,Sprouts Farmers Market,5150 W. 120th Ave.,Westminster,CO
411333b0-8bcc-4444-b3f8-3fb1bf838fbe,Sprouts Farmers Market,3725 Kipling St.,Wheat Ridge,CO
55ad1002-8e44-48fc-9c77-e0e35bb38e2f,Trader Joe's,"3500 S College Ave, Ste 110",Fort Collins,CO
6a8e0004-c479-439a-9d7b-841b4b37501d,Sprouts Farmers Market,4345 Corbett Dr.,Fort Collins,CO
1b1580b2-5fc6-4f12-abec-0fd544069e5e,Whole Foods Market,2201 S College Ave,Fort Collins,CO
a8cd4cc0-85d0-4bd6-8adc-8b901c1d1e48,Sprouts Farmers Market,2601 S. Lemay Ave.,Fort Collins,CO
ebaa4828-ccd0-47f2-9015-8e88fbf40996,Sprouts Farmers Market,1450 W. Independent Ave.,Grand Junction,CO
0617f01b-395a-4f34-814b-715cb46a9a34,Whole Foods Market,9366 S. Colorado Blvd.,Highlands Ranch,CO
56401877-6b36-4bb3-92df-21710436b689,Sprouts Farmers Market,1980 E. County Line Rd.,Highlands Ranch,CO
27f2d343-5b94-462e-a3b7-cec7feaf0a84,Sprouts Farmers Market,1730 Dublin Blvd.,Colorado Springs,CO
ca5e98ee-873b-4ac5-a0c1-327f6e5e0d4c,Sprouts Farmers Market,13415 Voyager Pkwy.,Colorado Springs,CO
0449ba1a-6a68-48c7-bcd9-9c2e0d3b3ccb,Sprouts Farmers Market,5617 Barnes Rd.,Colorado Springs,CO
4abf4917-6f8f-4b91-9b86-c20a2f62aaa4,Trader Joe's,5342 N Nevada Ave,Colorado Springs,CO
b6be7964-dae4-49c6-a765-ae9d0542f800,Whole Foods Market,7635 North Academy Blvd,Colorado Springs,CO
8ebbeb83-3499-4ae4-bc95-9c8516bdb6c5,Sprouts Farmers Market,8557 E. Arapahoe Rd.,Greenwood Village,CO
55d642c1-09b2-4df4-9503-bf9f09352a59,Trader Joe's,1850 Epps Bridge Pkwy,Athens,GA
d314856e-6edf-4d2c-bb9f-f0db9364a7f4,Sprouts Farmers Market,2220 Peachtree Industrial Blvd.,Duluth,GA
8b088f92-db0b-4501-92dd-f27e5e35da0c,Sprouts Farmers Market,4330 East-West Conn.,Smyrna,GA
a49dea2d-b521-4fdf-b763-b5d5d3275b5b,Sprouts Farmers Market,4310 Lavista Rd.,Tucker,GA
3fa8839a-c059-45a2-a3c4-a2417b2f4605,Whole Foods Market,5930 Roswell Rd,Atlanta,GA
c0fa2a75-e653-441d-a72a-8eb0a13d7ba1,Sprouts Farmers Market,1845 Piedmont Ave.,Atlanta,GA
4d3a54bd-9bf0-4450-acb9-2a3e99376f8b,Whole Foods Market,77 West Paces Ferry Rd NW,Atlanta,GA
c52685eb-fdf4-403b-864c-6c1e0df196bf,Trader Joe's,3183 Peachtree Rd,Atlanta,GA
23ed809c-dba1-441d-a653-f5cb585afbd2,Sprouts Farmers Market,630 Crane Creek Dr.,Augusta,GA
34c5fb5a-f868-4adf-bf1d-cf44745c7cf6,Sprouts Farmers Market,530 Lakeland Plz.,Cumming,GA
768478da-1425-4bf8-9e12-eb6ca234b3bc,Sprouts Farmers Market,2551 Blackmon Dr.,Decatur,GA
4ca28412-b0d2-427a-8482-a07f1b967a2c,Trader Joe's,635 W Crossville Rd,Roswell,GA
de0ff309-c65f-4816-8e6b-a67b12e088ec,Sprouts Farmers Market,10800 Alpharetta Hwy.,Roswell,GA
69e15b13-ff6e-4990-a953-3414db8e82e5,Sprouts Farmers Market,3630 Peachtree Pkwy.,Suwanee,GA
705a1465-10f6-4442-acba-67a4c1dc1a66,Whole Foods Market,5001 Peachtree Boulevard,Chamblee,GA
7b4c4285-dc9a-43c3-ba53-b6b6151b8ff8,Whole Foods Market,1311 Johnson Ferry Road NE,Marietta,GA
00d2eba0-0db5-415d-8ada-89dabd699c2d,Trader Joe's,5185 Peachtree Pkwy,Norcross,GA
d863d9fd-4ac7-4344-9fc8-6d9c0edd7de0,Sprouts Farmers Market,1430 Towne Lake Pkwy.,Woodstock,GA
b1965a91-08df-4e70-9eb5-8c557347c351,Whole Foods Market,5945 State Bridge Rd,Johns Creek,GA
248cc01e-2bc0-4f8d-a935-241c56369edf,Sprouts Farmers Market,"1250 Scenic Highway, Ste. 1704",Lawrenceville,GA
